iso3c,year,life_expect,birth_rate,neonat_mortal_rate
BEN,2014,59.5105853658537,36.008,32.2
BEN,2010,58.7297073170732,37.852,33.5
BEN,2013,59.3120243902439,36.44,32.6
BEN,2001,55.4664878048781,42.313,38.6
BEN,1990,53.42,46.302,46.3
BEN,2005,57.0659756097561,40.476,35.5
BEN,1991,53.9357073170732,46.031,45.4
BEN,2012,59.1219756097561,36.891,32.9
BEN,2011,58.9329024390244,37.362,33.3
BEN,2002,55.8143170731707,41.896,37.8
BEN,2004,56.6331707317073,40.976,36.1
BEN,2003,56.2080731707317,41.45,36.9
BMU,1991,74.029512195122,15.4,NA
BMU,1994,NA,14.5,NA
BMU,2002,78.0878048780488,13.2,NA
BMU,2003,78.3341463414634,13.2,NA
BMU,1993,NA,13.7,NA
BMU,2006,78.8878048780488,12.5,NA
BMU,2004,78.4853658536586,13.2,NA
BMU,2001,77.8853658536585,13.3,NA
BMU,2013,80.5724390243902,10.4,NA
BMU,1999,NA,NA,NA
BMU,2007,78.9341463414634,13.4,NA
BMU,1992,NA,15.5,NA
BMU,2005,78.6853658536586,13.1,NA
BMU,2008,79.2365853658537,12.8,NA
BMU,1996,NA,13.9,NA
BMU,1990,NA,14.6,NA
BMU,2009,79.3884390243903,12.5,NA
BMU,2000,77.8853658536585,13.5,NA
BMU,2012,81.6778048780488,10,NA
BMU,1998,NA,NA,NA
BMU,2014,80.7973170731707,10.5,NA
BMU,2015,NA,NA,NA
BMU,2011,81.1526829268293,10.4,NA
BMU,1997,NA,NA,NA
BMU,1995,NA,13.3,NA
BMU,2010,79.2885365853658,11.8,NA
BRN,2015,NA,NA,4.3
BRN,2009,77.2682926829268,17.809,4.7
BRN,2008,76.956756097561,18.07,4.7
BRN,1993,73.767243902439,29.63,5.8
BRN,2005,76.2134634146341,18.738,4.9
BRN,1997,74.6621707317073,25.326,5.1
BRN,1994,73.9970975609756,28.707,5.6
BRN,1992,73.5333902439024,30.421,6
BRN,1996,74.4443170731708,26.526,5.2
BRN,2014,78.8095853658537,16.043,4.3
BRN,1990,73.0511951219512,31.519,6.4
BRN,1995,74.2229512195122,27.666,5.4
BRN,2007,76.6755609756098,18.292,4.8
BRN,2000,75.2888048780488,21.852,4.9
BRN,1991,73.2950487804878,31.06,6.2
BRN,2010,77.5982682926829,17.499,4.6
BRN,1999,75.0854146341464,22.936,4.9
BRN,2006,76.4281219512195,18.499,4.9
BRN,1998,74.8755365853659,24.114,5
BRN,2013,78.5466585365854,16.405,4.3
BRN,2012,78.2525853658537,16.774,4.4
BRN,2011,77.9323170731708,17.146,4.5
BRN,2004,76.0241219512195,19.065,4.9
BRN,2003,75.8461707317073,19.522,4.9
BRN,2001,75.483243902439,20.913,4.9
BRN,2002,75.6676829268293,20.137,4.9
BOL,1992,56.198243902439,34.536,39.9
BOL,1991,55.6500243902439,34.957,40.9
BOL,2004,62.9686341463415,28.678,27.6
BOL,1993,56.7494390243903,34.126,39
BOL,2003,62.3989756097561,29.234,28
BOL,1990,55.1072926829268,35.396,42
BOL,1995,57.8632926829268,33.304,37
BOL,2005,63.5397804878049,28.127,27.1
BOL,1994,57.3051219512195,33.718,38.1
